ing,0.697268
ati,0.449567
ess,0.447899
ion,0.425651
ter,0.404804
tio,0.352267
nes,0.351642
ate,0.342886
ent,0.337078
ous,0.316886
tic,0.286716
ica,0.270187
ist,0.255236
ers,0.242966
ble,0.241625
cal,0.240226
non,0.23695
per,0.232274
all,0.228491
ant,0.226377
ine,0.22456
ver,0.216697
abl,0.208924
tin,0.208894
eri,0.199424
pre,0.194807
ali,0.191144
con,0.18489
tra,0.184771
ted,0.178099
ive,0.174704
lin,0.172738
nte,0.172351
ene,0.170683
sti,0.169998
rat,0.169075
ies,0.169075
res,0.168241
est,0.167735
men,0.166216
pro,0.164757
tri,0.162553
tor,0.161481
nti,0.15883
ove,0.153856
lly,0.151444
lat,0.150759
lit,0.150253
oni,0.149985
ste,0.147185
rin,0.146857
iti,0.145875
der,0.145607
ite,0.144832
nde,0.143313
ize,0.142033
int,0.141229
the,0.139412
era,0.138012
ere,0.136642
ari,0.136166
les,0.135451
str,0.134825
ons,0.134706
dis,0.134468
ran,0.134081
gra,0.133187
ast,0.130805
ect,0.129852
her,0.129465
ato,0.129167
ili,0.128273
ona,0.128154
ric,0.126933
tiv,0.126784
olo,0.126397
mat,0.125414
ism,0.125295
man,0.124878
ity,0.124818
tro,0.123985
log,0.122317
und,0.121959
ero,0.120857
red,0.117105
one,0.116837
min,0.116509
oph,0.115973
ula,0.114901
ome,0.113769
sta,0.112637
cti,0.112072
ina,0.11097
ial,0.11088
nat,0.110731
pho,0.109868
emi,0.109391
cat,0.108676
ori,0.107634
nce,0.107634
ish,0.106919
lis,0.10686
nal,0.106353
met,0.106234
chi,0.105728
rop,0.105132
and,0.104745
ise,0.104328
ill,0.103941
ria,0.103911
che,0.103732
ell,0.103464
ele,0.102362
ani,0.101112
for,0.101022
par,0.100307
mis,0.100188
rap,0.0998309
rea,0.0998309
ian,0.0976568
rec,0.0964059
ost,0.0961975
nis,0.0952444
tal,0.0947083
gen,0.0941723
com,0.0941723
nic,0.0941425
rac,0.0938744
ide,0.0933383
tat,0.0932788
lar,0.0932192
sub,0.092147
len,0.0919088
ris,0.0917301
unc,0.0916407
phi,0.0911642
sto,0.0911047
aph,0.090777
ten,0.0907175
oli,0.0905984
cha,0.0903601
nta,0.0903005
rou,0.0901516
erm,0.0887816
lli,0.0887518
oma,0.0880668
anc,0.0878286
eli,0.0876499
ini,0.0876201
enc,0.0874712
mon,0.0872031
tis,0.0869053
car,0.0864288
out,0.0859225
lan,0.0855353
cul,0.085446
mic,0.0852971
sis,0.0849099
ete,0.0845525
ral,0.084344
ard,0.0835399
lic,0.0831527
nin,0.0829145
ort,0.081068
eti,0.0808595
sin,0.080651
rit,0.0806212
end,0.0805021
ros,0.080234
art,0.0799958
ore,0.0796384
ngl,0.0794299
lle,0.0793108
pla,0.0787449
act,0.0785364
ici,0.0783577
tom,0.0781791
ont,0.0779706
uns,0.077643
led,0.077226
ron,0.0767495
tur,0.0764814
ara,0.075856
ler,0.0755284
tes,0.0754093
ure,0.075171
eni,0.0751412
ang,0.0750817
ssi,0.074903
ndi,0.0744265
pha,0.0743967
ogi,0.0740095
ret,0.0738606
age,0.0735628
tte,0.0733245
rom,0.0732947
ses,0.0732352
osi,0.0732352
ner,0.0732352
ace,0.0730267
cho,0.0727884
shi,0.0726991
bil,0.072431
etr,0.072431
nco,0.072431
din,0.0720141
lla,0.0718949
rie,0.0718949
oid,0.0716269
ita,0.0713589
ath,0.0713291
ens,0.0707036
ier,0.0706441
den,0.0704654
phy,0.0699889
tan,0.0699293
unt,0.0696315
ntr,0.0696315
nit,0.0693039
ono,0.0690358
oto,0.0689763
sup,0.0688571
ass,0.0688273
hor,0.0686784
tho,0.0684997
cro,0.0682019
mer,0.0680828
ans,0.068053
ach,0.0678147
ora,0.0675765
ven,0.0675467
dia,0.0674276
las,0.0673978
kin,0.0667724
ins,0.0664745
hal,0.0662661
ogr,0.0660874
liz,0.0653428
erc,0.0652237
ser,0.0649854
ind,0.0648663
cor,0.0645387
hin,0.0644493
cen,0.0643898
ely,0.0640621
gly,0.0640324
orm,0.063943
rot,0.0638537
qui,0.0638239
ton,0.0637941
sse,0.0632878
ren,0.0632282
pos,0.0630495
ber,0.0626624
sem,0.0626624
ino,0.0624837
iat,0.0624241
eme,0.0624241
sco,0.0623348
ose,0.0622156
iou,0.0621263
